uuid,meds,true_label,zs_pred,fs_pred,rag_zs_pred,rag_fs_pred
975abcfe,"['flunisolide', 'magnesium trisilicate']",0,0,0,0,0
4115a5a4,"['Promethazine', 'Leucovorin']",1,1,1,1,1
7ee3c8b9,"['Warfarin', 'Hydroxychloroquine']",1,1,1,1,1
944e2097,"['valacyclovir', 'Guaifenesin']",1,0,0,1,0
599ca95b,"['pregabalin', 'Levofloxacin']",1,1,1,1,1
38b53fe4,"['Omeprazole', 'docetaxel']",1,1,1,1,1
0a724340,"['Clonazepam', 'clopidogrel']",1,0,1,1,1
6bee912c,"['Hydrochlorothiazide', 'Acyclovir']",1,0,1,1,1
b9f18d05,"['Ivermectin', 'Thiethylperazine']",0,1,1,0,0
f0061f73,"['Diazepam', 'Digoxin']",1,0,1,1,1
8e1f472e,"['Famotidine', 'Promethazine']",1,1,0,1,1
32ba4f94,"['Methylprednisolone', 'Benztropine']",1,1,1,1,1
2245aad8,"['Arginine', 'Procyclidine']",0,0,1,0,0
b16ff977,"['Cyclophosphamide', 'Valproate']",1,1,1,1,1
a7551d88,"['Omeprazole', 'Naproxen']",1,1,0,1,1
7bb47be3,"['Clindamycin', 'Naproxen']",1,1,1,1,1
082bc65c,"['Cysteamine', 'Sodium polystyrene sulfonate']",0,0,1,0,0
29b31281,"['Tamoxifen', 'quazepam']",0,1,1,0,0
967cf40c,"['Methylprednisolone', 'levothyroxine']",1,0,0,1,1
e44ed98b,"['Diltiazem', 'Levofloxacin']",1,1,1,1,1
d835abe8,"['quetiapine', 'Cyclophosphamide']",1,1,1,1,1
fc8d9586,"['Ramipril', 'rosuvastatin']",1,0,0,1,0
